GEONAME,LNTITLE,GEOID,CVAP_EST
"Autauga County, Alabama",Total,05000US01001,40690
"Autauga County, Alabama",Not Hispanic or Latino,05000US01001,40015
"Autauga County, Alabama",American Indian or Alaska Native Alone,05000US01001,125
"Autauga County, Alabama",Asian Alone,05000US01001,245
"Autauga County, Alabama",Black or African American Alone,05000US01001,7470
"Autauga County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01001,4
"Autauga County, Alabama",White Alone,05000US01001,31705
"Autauga County, Alabama",American Indian or Alaska Native and White,05000US01001,220
"Autauga County, Alabama",Asian and White,05000US01001,140
"Autauga County, Alabama",Black or African American and White,05000US01001,50
"Autauga County, Alabama",American Indian or Alaska Native and Black or African American,05000US01001,0
"Autauga County, Alabama",Remainder of Two or More Race Responses,05000US01001,55
"Autauga County, Alabama",Hispanic or Latino,05000US01001,675
"Baldwin County, Alabama",Total,05000US01003,151770
"Baldwin County, Alabama",Not Hispanic or Latino,05000US01003,148020
"Baldwin County, Alabama",American Indian or Alaska Native Alone,05000US01003,1095
"Baldwin County, Alabama",Asian Alone,05000US01003,615
"Baldwin County, Alabama",Black or African American Alone,05000US01003,13315
"Baldwin County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01003,0
"Baldwin County, Alabama",White Alone,05000US01003,131535
"Baldwin County, Alabama",American Indian or Alaska Native and White,05000US01003,795
"Baldwin County, Alabama",Asian and White,05000US01003,305
"Baldwin County, Alabama",Black or African American and White,05000US01003,260
"Baldwin County, Alabama",American Indian or Alaska Native and Black or African American,05000US01003,55
"Baldwin County, Alabama",Remainder of Two or More Race Responses,05000US01003,45
"Baldwin County, Alabama",Hispanic or Latino,05000US01003,3750
"Barbour County, Alabama",Total,05000US01005,20375
"Barbour County, Alabama",Not Hispanic or Latino,05000US01005,20120
"Barbour County, Alabama",American Indian or Alaska Native Alone,05000US01005,45
"Barbour County, Alabama",Asian Alone,05000US01005,40
"Barbour County, Alabama",Black or African American Alone,05000US01005,9635
"Barbour County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01005,0
"Barbour County, Alabama",White Alone,05000US01005,10310
"Barbour County, Alabama",American Indian or Alaska Native and White,05000US01005,65
"Barbour County, Alabama",Asian and White,05000US01005,0
"Barbour County, Alabama",Black or African American and White,05000US01005,15
"Barbour County, Alabama",American Indian or Alaska Native and Black or African American,05000US01005,4
"Barbour County, Alabama",Remainder of Two or More Race Responses,05000US01005,4
"Barbour County, Alabama",Hispanic or Latino,05000US01005,250
"Bibb County, Alabama",Total,05000US01007,17590
"Bibb County, Alabama",Not Hispanic or Latino,05000US01007,17415
"Bibb County, Alabama",American Indian or Alaska Native Alone,05000US01007,45
"Bibb County, Alabama",Asian Alone,05000US01007,0
"Bibb County, Alabama",Black or African American Alone,05000US01007,3875
"Bibb County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01007,0
"Bibb County, Alabama",White Alone,05000US01007,13250
"Bibb County, Alabama",American Indian or Alaska Native and White,05000US01007,65
"Bibb County, Alabama",Asian and White,05000US01007,0
"Bibb County, Alabama",Black or African American and White,05000US01007,170
"Bibb County, Alabama",American Indian or Alaska Native and Black or African American,05000US01007,0
"Bibb County, Alabama",Remainder of Two or More Race Responses,05000US01007,15
"Bibb County, Alabama",Hispanic or Latino,05000US01007,175
"Blount County, Alabama",Total,05000US01009,42430
"Blount County, Alabama",Not Hispanic or Latino,05000US01009,40885
"Blount County, Alabama",American Indian or Alaska Native Alone,05000US01009,155
"Blount County, Alabama",Asian Alone,05000US01009,65
"Blount County, Alabama",Black or African American Alone,05000US01009,675
"Blount County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01009,0
"Blount County, Alabama",White Alone,05000US01009,39580
"Blount County, Alabama",American Indian or Alaska Native and White,05000US01009,360
"Blount County, Alabama",Asian and White,05000US01009,25
"Blount County, Alabama",Black or African American and White,05000US01009,25
"Blount County, Alabama",American Indian or Alaska Native and Black or African American,05000US01009,0
"Blount County, Alabama",Remainder of Two or More Race Responses,05000US01009,4
"Blount County, Alabama",Hispanic or Latino,05000US01009,1550
"Bullock County, Alabama",Total,05000US01011,8195
"Bullock County, Alabama",Not Hispanic or Latino,05000US01011,8180
"Bullock County, Alabama",American Indian or Alaska Native Alone,05000US01011,55
"Bullock County, Alabama",Asian Alone,05000US01011,40
"Bullock County, Alabama",Black or African American Alone,05000US01011,5950
"Bullock County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01011,0
"Bullock County, Alabama",White Alone,05000US01011,2020
"Bullock County, Alabama",American Indian or Alaska Native and White,05000US01011,115
"Bullock County, Alabama",Asian and White,05000US01011,0
"Bullock County, Alabama",Black or African American and White,05000US01011,0
"Bullock County, Alabama",American Indian or Alaska Native and Black or African American,05000US01011,0
"Bullock County, Alabama",Remainder of Two or More Race Responses,05000US01011,0
"Bullock County, Alabama",Hispanic or Latino,05000US01011,15
"Butler County, Alabama",Total,05000US01013,15425
"Butler County, Alabama",Not Hispanic or Latino,05000US01013,15265
"Butler County, Alabama",American Indian or Alaska Native Alone,05000US01013,15
"Butler County, Alabama",Asian Alone,05000US01013,115
"Butler County, Alabama",Black or African American Alone,05000US01013,6385
"Butler County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01013,0
"Butler County, Alabama",White Alone,05000US01013,8595
"Butler County, Alabama",American Indian or Alaska Native and White,05000US01013,85
"Butler County, Alabama",Asian and White,05000US01013,15
"Butler County, Alabama",Black or African American and White,05000US01013,25
"Butler County, Alabama",American Indian or Alaska Native and Black or African American,05000US01013,10
"Butler County, Alabama",Remainder of Two or More Race Responses,05000US01013,25
"Butler County, Alabama",Hispanic or Latino,05000US01013,160
"Calhoun County, Alabama",Total,05000US01015,88525
"Calhoun County, Alabama",Not Hispanic or Latino,05000US01015,87085
"Calhoun County, Alabama",American Indian or Alaska Native Alone,05000US01015,205
"Calhoun County, Alabama",Asian Alone,05000US01015,500
"Calhoun County, Alabama",Black or African American Alone,05000US01015,17620
"Calhoun County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01015,4
"Calhoun County, Alabama",White Alone,05000US01015,67470
"Calhoun County, Alabama",American Indian or Alaska Native and White,05000US01015,640
"Calhoun County, Alabama",Asian and White,05000US01015,130
"Calhoun County, Alabama",Black or African American and White,05000US01015,310
"Calhoun County, Alabama",American Indian or Alaska Native and Black or African American,05000US01015,50
"Calhoun County, Alabama",Remainder of Two or More Race Responses,05000US01015,150
"Calhoun County, Alabama",Hispanic or Latino,05000US01015,1440
"Chambers County, Alabama",Total,05000US01017,26480
"Chambers County, Alabama",Not Hispanic or Latino,05000US01017,26415
"Chambers County, Alabama",American Indian or Alaska Native Alone,05000US01017,80
"Chambers County, Alabama",Asian Alone,05000US01017,75
"Chambers County, Alabama",Black or African American Alone,05000US01017,10435
"Chambers County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01017,0
"Chambers County, Alabama",White Alone,05000US01017,15700
"Chambers County, Alabama",American Indian or Alaska Native and White,05000US01017,70
"Chambers County, Alabama",Asian and White,05000US01017,4
"Chambers County, Alabama",Black or African American and White,05000US01017,55
"Chambers County, Alabama",American Indian or Alaska Native and Black or African American,05000US01017,0
"Chambers County, Alabama",Remainder of Two or More Race Responses,05000US01017,0
"Chambers County, Alabama",Hispanic or Latino,05000US01017,65
"Cherokee County, Alabama",Total,05000US01019,20505
"Cherokee County, Alabama",Not Hispanic or Latino,05000US01019,20290
"Cherokee County, Alabama",American Indian or Alaska Native Alone,05000US01019,85
"Cherokee County, Alabama",Asian Alone,05000US01019,25
"Cherokee County, Alabama",Black or African American Alone,05000US01019,910
"Cherokee County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01019,0
"Cherokee County, Alabama",White Alone,05000US01019,19100
"Cherokee County, Alabama",American Indian or Alaska Native and White,05000US01019,150
"Cherokee County, Alabama",Asian and White,05000US01019,0
"Cherokee County, Alabama",Black or African American and White,05000US01019,10
"Cherokee County, Alabama",American Indian or Alaska Native and Black or African American,05000US01019,4
"Cherokee County, Alabama",Remainder of Two or More Race Responses,05000US01019,4
"Cherokee County, Alabama",Hispanic or Latino,05000US01019,215
"Chilton County, Alabama",Total,05000US01021,31555
"Chilton County, Alabama",Not Hispanic or Latino,05000US01021,31065
"Chilton County, Alabama",American Indian or Alaska Native Alone,05000US01021,135
"Chilton County, Alabama",Asian Alone,05000US01021,50
"Chilton County, Alabama",Black or African American Alone,05000US01021,3220
